"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"7801404054","01.61","Предоставление услуг в области растениеводства","ООО ""ТД АНТОНИО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",1,4097000,2682000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ АНТОНИО"""
"7801251961","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ПЕТРО ГАЛС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",0,37000,2660000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРО ГАЛС"""
"7838302556","68.10","Покупка и продажа собственного недвижимого имущества","ООО ""ВАВИЛОН""","САНКТ-ПЕТЕРБУРГ ГОРОД",1,872000,272000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАВИЛОН"""
"7810477299",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЛЕНОБЛИНВЕСТ"""
"4720001750","01.61","Предоставление услуг в области растениеводства","ООО ""СПЕКТР ПЛЮС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",5,1917000,1849000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕКТР ПЛЮС"""
"7802478404",,,,,1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХРУСТАЛЬ СП СПБ"""
"7823004677","45.1","Торговля автотранспортными средствами","ООО ""СОЦАВТО-С""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",10,6845000,6421000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦАВТО-С"""
"4720030334","86.21","Общая врачебная практика","ООО ""ВАШ ДОКТОР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",1,13376000,11365000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАШ ДОКТОР"""
"4720028222",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕССТРОЙКОНТРАКТ-ПЛЮС"""
"4720031585",,,,,1,6388000,6389000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРАНЖ-ДЕВЕЛОПМЕНТ"""
"4720013850","52.22.29","Деятельность вспомогательная, связанная с внутренним водным транспортом, прочая, не включенная в другие группировки","ВМК ""ИЖОРЕЦ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",,,,,"ВОДНО-МОТОРНЫЙ КООПЕРАТИВ ""ИЖОРЕЦ"""
"4720016932","52.21.24","Деятельность стоянок для транспортных средств","ГСПК ""МАЯК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",,,,,"ГАРАЖНО - СТРОИТЕЛЬНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""МАЯК"""
"4720017735","23.61","Производство изделий из бетона для использования в строительстве","ООО ""СТК ""БРОНКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",6,13584000,13545000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНО-ТОРГОВАЯ КОМПАНИЯ ""БРОНКА"""
"4720023111",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЖЕН-СЛ"""
"4720028078","69","Деятельность в области права и бухгалтерского учета","ООО ""ПРОМЭКС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЭКС"""
"4725480792",,,,,1,0,0,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БОЛЬШАЯ ИЖОРА"""
"4720022781","47.1","Торговля розничная в неспециализированных магазинах","ООО ""МИХАЙЛОВСКИЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",2,1980000,1824000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИХАЙЛОВСКИЙ"""
"4711014495","41.20","Строительство жилых и нежилых зданий","ООО ""СТРОЙТРАНСМАГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",1,12495000,12293000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТРАНСМАГ"""
"4725000340","69.10","Деятельность в области права","ООО ""МПЦ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК БОЛЬШАЯ ИЖОРА",2,6007000,5779000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУНИЦИПАЛЬНЫЙ ПРАВОВОЙ ЦЕНТР"""
