INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7811451423,1,0,49.41,Деятельность автомобильного грузового транспорта,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",0,31.12.2018,"ООО ""АЛЬЯНС"""
7842307772,9,138941000,46.22,Торговля оптовая цветами и растениями,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦВЕТЫ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",120960000,31.12.2018,"АО ""ЦВЕТЫ"""
7816186391,58,279666000,22.23,"Производство пластмассовых изделий, используемых в строительстве","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОПАРТНЕР""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",285481000,31.12.2018,"ООО ""ЕВРОПАРТНЕР"""
7807061269,564,3936863000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧИПИТА САНКТ-ПЕТЕРБУРГ""",,3984608000,31.12.2018,
7807034410,1,687000,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРИКЛАДНОЙ БИОТЕХНИЧЕСКОЙ ХИМИИ И МЕДИЦИНЫ ""КСИЛИТ"" С ОПЫТНЫМ ПРОИЗВОДСТВОМ","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",1800000,31.12.2018,"ООО ""НИИ ""КСИЛИТ"""
7807002721,4,205054000,,,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТОСТРОИТЕЛЬНЫЙ ОТРЯД №19""",,378446000,31.12.2018,
7816377220,1,1264000,68.32.1,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВТОРИНВЕСТ""",САНКТ-ПЕТЕРБУРГ ГОРОД,1315000,31.12.2018,"ООО  ""ВТОРИНВЕСТ"""
7802117486,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЖСЕРВИС-М""",,,,
7805120198,270,691449000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИЛАРИН""",,699896000,31.12.2018,
7807044538,5,274288000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВИЗ""",,42200000,31.12.2018,
7838341636,1,394796000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТЕХНОЛОГИЯ""",,5055000,31.12.2018,
7801549797,190,867825000,26.51.2,"Производство радиолокационной, радионавигационной аппаратуры и радиоаппаратуры дистанционного управления","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ЦИФРОВЫЕ РАДИОТЕХНИЧЕСКИЕ СИСТЕМЫ""",САНКТ-ПЕТЕРБУРГ ГОРОД,913664000,31.12.2018,"ООО ""НПП ""ЦРТС"""
4720020181,1,1624000,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАСТФОРМ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",2000000,31.12.2018,"ООО ""ПЛАСТФОРМ"""
7801180037,17,106611000,25.1,Производство строительных металлических конструкций и изделий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКРОС-СТРОЙ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",110565000,31.12.2018,"ООО ""ЭКРОС-СТРОЙ"""
7839355173,1,407000,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""ПРОМАВТОМАТИКА""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",428000,31.12.2018,"ООО  ""ИТЦ  ""ПРОМАВТОМАТИКА"""
7842311218,1,2135000,26.51.5,Производство приборов для контроля прочих физических величин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕК""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",2772000,31.12.2018,"ООО  ""ИНТЕК"""
7807006518,3,3585000,14.13,Производство прочей верхней одежды,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР УСЛУГ""МАКСИ-СЕРВИС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",15780000,31.12.2018,"ООО ""ЦЕНТР УСЛУГ""МАКСИ-СЕРВИС"""
7817300117,1,12097000,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЛЕГИОНЕР""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД КРАСНОЕ СЕЛО",12331000,31.12.2018,"ООО ""ЛЕГИОНЕР"""
