"INN","employees","revenue","expenses","revenue_date","org_name","okved_main_code","okved_main_name","short_name","place_info"
"7802121203",480,1640565000,1562925000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КСИЛ""",,,,
"7810183482",35,385879000,384936000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОКАРТОН""","17.21","Производство гофрированной бумаги и картона, бумажной и картонной тары","ООО ""ПЕТРОКАРТОН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"7810461595",20,42365000,330605000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНЫЙ СТРОИТЕЛЬНЫЙ ТРЕСТ""",,,,
"7807325585",2,525000,5997000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШИМ-ИНВЕСТ""","68.1","Покупка и продажа собственного недвижимого имущества","ООО ""ШИМ-ИНВЕСТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"4720027652",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАГОЛОВСКОЕ""",,,,
"4720004013",43,96804000,73281000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА ЛАГОЛОВО""","37.00","Сбор и обработка сточных вод","АО ""ПТИЦЕФАБРИКА ЛАГОЛОВО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"4720015417",60,270719000,210890000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЕ МЕБЕЛЬНЫЕ ТЕХНОЛОГИИ""","16.23.2","Производство сборных деревянных строений","ООО ""БМТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"7810321069",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОВИТОН""",,,,
"7810313621",23,41646000,40521000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МЕБЕЛЬНАЯ ФАБРИКА ""АВС - ПЕТЕРБУРГ""","31.01","Производство мебели для офисов и предприятий торговли","ООО МЕБЕЛЬНАЯ ФАБРИКА ""АВС - ПЕТЕРБУРГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"4720027902",6,5268000,5202000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОИНВЕСТ""","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""АГРОИНВЕСТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
"7816310930",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВРОРА""","45.20","Техническое обслуживание и ремонт автотранспортных средств","ООО ""АВРОРА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН"
"7839319295",39,23112000,23044000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НУР ГРАНАТ""","10.71","Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения","ООО ""НУР ГРАНАТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ ЛАГОЛОВО"
