"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"4720013184","56.10","Деятельность ресторанов и услуги по доставке продуктов питания","ООО ""СТРЕЛЕЦ - С""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРЕЛЕЦ - С"""
"4720013811","02.20","Лесозаготовки","ООО ""ЛОМОНОСОВСКИЙ ЛПХ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",2,791000,750000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМОНОСОВСКИЙ ЛЕСПРОМХОЗ"""
"4720001559","49.31.2","Регулярные перевозки пассажиров прочим сухопутным транспортом в городском и пригородном сообщении","ООО ""СНИП""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СНИП"""
"7810493364",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТОП-РЕСУРС"""
"7819306153",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ ТЕХНОЛОГИИ КАЧЕСТВА - СЕРВИС"""
"4720022686","47.1","Торговля розничная в неспециализированных магазинах","ООО ""ИЛМА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",0,329000,325000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЛМА"""
"7819319138","46.73","Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием","ООО ""ЛИВАРА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",2,27035000,23944000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВАРА"""
"7819320221","43.33","Работы по устройству покрытий полов и облицовке стен","ООО ""ВИГЛ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИГЛ"""
"4720016474","33.12","Ремонт машин и оборудования","ООО ""ППО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОДВОРЦОВОЕ ПОЖАРНОЕ ОБЩЕСТВО"""
"4720026105",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТИЛЬ"""
"4720023506","47.1","Торговля розничная в неспециализированных магазинах","ООО ""ГОЛУБОЙ ДУНАЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛУБОЙ ДУНАЙ"""
"4720033310","43.12.3","Производство земляных работ","ООО ""СОЮЗ РЕГИОНОВ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ РЕГИОНОВ"""
"7841081875","43.31","Производство штукатурных работ","ООО ""ЭЛЕГИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕГИЯ"""
"4720001333","16.23","Производство прочих деревянных строительных конструкций и столярных изделий","ООО ""ВИТАС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",2,0,22000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТАС"""
"4725480182",,,,,0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛАГАТ"""
"4720029233",,,,,0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ НЕДВИЖИМОСТИ"""
"4720027437","16.23","Производство прочих деревянных строительных конструкций и столярных изделий","ООО ""ВИЛС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,24000,135000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЛС"""
"4720030616","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""РАЙТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,321000,313000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАЙТ"""
"4720022333","93.29.9","Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки","СЛК ""ВИХРЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",,,,,"СПОРТИВНО-ЛОДОЧНЫЙ КООПЕРАТИВ ""ВИХРЬ"""
"4720026987",,,,,,,,,"ТОВАРИЩЕСТВО НА ВЕРЕ ""ПОГРЕБОК"""
"4720030800",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮРИДИЧЕСКИЙ ЦЕНТР ""СПАРТА"""
"4725483105","56.10","Деятельность ресторанов и услуги по доставке продуктов питания","ООО ""ПОЛЯНА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",2,3260000,2934000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛЯНА"""
"4720031440","14.3","Производство вязаных и трикотажных изделий одежды","ООО ""ПК ""ЛАДЬЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ДЕРЕВНЯ РАЗБЕГАЕВО",14,98611000,95348000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ЛАДЬЯ"""
"4720024997","47.1","Торговля розничная в неспециализированных магазинах","ООО ""АКСИОМАСТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",,47000,46000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКСИОМАСТРОЙ"""
"4725002690","46.73.2","Торговля оптовая пиломатериалами","ООО ""ТД ""ЩЕПКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,39398000,35910000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЩЕПКА"""
"4720024316","68.32.2","Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе","ГСК ""ПРИБОЙ-4""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",,,,,"ГАРАЖНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ПО ЭКСПЛУАТАЦИИ И СТРОИТЕЛЬСТВУ ГАРАЖЕЙ ДЛЯ АВТОМОБИЛЕЙ И МОТОЦИКЛОВ ИНДИВИДУАЛЬНОГО ПОЛЬЗОВАНИЯ ""ПРИБОЙ-4"""
"4725485046",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ""НАШ ДОМ"""
"4720030503","47.30","Торговля розничная моторным топливом в специализированных магазинах","ООО ""ТРИЭС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",2,7234000,7148000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИЭС"""
"4725000710",,,,,,,,,"ТОВАРИЩЕСТВО НА ВЕРЕ (КОМАНДИТНОЕ ТОВАРИЩЕСТВО) ""ГРАНИТ"""
"4725483909","46.71.2","Торговля оптовая моторным топливом, включая авиационный бензин","ООО ""АПН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,15755000,15438000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АПН"""
"4725481130","66.19.4","Деятельность по предоставлению консультационных услуг по вопросам финансового посредничества","ООО ""АМ-ИНВЕСТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ЛЕБЯЖЬЕ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМ-ИНВЕСТ"""
