"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"7805203817","46.73.6","Торговля оптовая прочими строительными материалами и изделиями","ООО ""УК ""ВОЗРОЖДЕНИЕ-НЕРУД""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",36,1599180000,1522791000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВОЗРОЖДЕНИЕ-НЕРУД"""
"4706017250","61.10.4","Деятельность в области документальной электросвязи","ООО ""ЭЛЕКТРОН-М""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",3,3266000,3185000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОН-М"""
"4706000909",,,,,118,186721000,185646000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМПЕС"""
"4706021433","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""БАСТИОН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",1,930000,831000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСТИОН"""
"4706023303","47.2","Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах","ООО ""СИМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",5,10465000,10328000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМ"""
"4706016419","47.11","Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах","ООО ""РАСАН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, МАССИВ МИХАЙЛОВСКИЙ",3,4754000,4439000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСАН"""
"7826073051","68.1","Покупка и продажа собственного недвижимого имущества","ООО""ТАНДЕМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",2,0,279000,"31.12.2018","Общество с ограниченной ответственностью ""ТАНДЕМ"""
"7802041981","02.20","Лесозаготовки","ООО ""КОРОС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",1,0,2000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРОС"""
"4706000377","47.52.71","Торговля розничная пиломатериалами в специализированных магазинах","ООО ""МГИНСКАЯ ЛТБ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",15,14511000,14352000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МГИНСКАЯ ЛЕСОТОРГОВАЯ БАЗА"""
"4706023536","47.2","Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах","ООО ""НАДЕЖДА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ ГОРЫ",2,8043000,7900000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАДЕЖДА"""
"4706033100","35.30","Производство, передача и распределение пара и горячей воды; кондиционирование воздуха","ООО ""ПТЭСК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",96,126698000,125340000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ ТЕПЛО ЭНЕРГО СБЫТОВАЯ КОМПАНИЯ"""
"7802786543",,,,,,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕТА-КОНСАЛТИНГ"""
"4706022966","47.59","Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах","ООО ""КОМПИТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",10,23343000,20768000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПИТ"""
"4706038437","68.32","Управление недвижимым имуществом за вознаграждение или на договорной основе","ООО ""УК ""ЖКС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЖИЛКОМСТАНДАРТ"""
"4706018543","47.71.1","Торговля розничная мужской, женской и детской одеждой в специализированных магазинах","ООО ""КОМСВЯЗЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",5,18883000,19376000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМСВЯЗЬ"""
"4706028090","68.32.1","Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе","ООО ""МГА РЭК ЖКХ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",39,55200000,51305000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МГИНСКАЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"""
"4706011227","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""МГИНСКИЙ УНИВЕРМАГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",1,596000,573000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МГИНСКИЙ УНИВЕРМАГ"""
"4706019184","42.11","Строительство автомобильных дорог и автомагистралей","ООО ""РИТМ ПЛЮС К""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",6,11367000,11292000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТМ ПЛЮС К"""
"4706036983","38.11","Сбор неопасных отходов","ООО ""ЭКОТРАНС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",3,3045000,2414000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОТРАНС"""
"4706012439","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""КОВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",2,252000,3018000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОВИС"""
"4706025075","16.1","Распиловка и строгание древесины","ООО ""ИЛЬМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",10,33832000,20349000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЛЬМ"""
"4706022589","33.12","Ремонт машин и оборудования","ООО ""РЕМКОМПЛЕКТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК МГА",12,32052000,30934000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМКОМПЛЕКТ"""
