"INN","employees","revenue","expenses","revenue_date","org_name","okved_main_code","okved_main_name","short_name","place_info"
"4700000109",1985,4342286000,3254336000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЛЕНИНГРАДСКАЯ ОБЛАСТЬ""",,,,
"7814313855",16,46509000,46013000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВАЯ ФИРМА ""АЙСБЕРГ""","55.1","Деятельность гостиниц и прочих мест для временного проживания","ООО ""ТФ ""АЙСБЕРГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"7805439160",19,390958000,372418000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГОРОДСКИЕ КВАРТАЛЫ""","68.10.23","Покупка и продажа земельных участков","ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГОРОДСКИЕ КВАРТАЛЫ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"4720000410",39,580612000,1327280000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ГИДРОТЕХНИКИ И МЕЛИОРАЦИИ""","68.10","Покупка и продажа собственного недвижимого имущества","АО ""СЕВНИИГИМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"4720000964",5,60510000,45697000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ОПЫТНОЕ КОНСТРУКТОРСКОЕ БЮРО ""МЕЛИОРАЦИЯ""","72.19","Научные исследования и разработки в области естественных и технических наук прочие","АО ОКБ ""МЕЛИОРАЦИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"7801213324",23,229249000,274530000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕМЭК""","36.0","Забор, очистка и распределение воды","ООО ""ЛЕМЭК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"7801206422",1,4879000,2304000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО""","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ЭНЕРГО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"7816220613",12,38839000,16570000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПАРК""","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ТЕХНОПАРК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
"4720026088",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕНОБЛГАЗ СЕРВИС""",,,,
"7804156138",3,25196000,23694000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУЛАТ""","43.22","Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха","ООО ""БУЛАТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК НОВОСЕЛЬЕ"
