"INN","employees","revenue","expenses","revenue_date","org_name","okved_main_code","okved_main_name","short_name","place_info"
"4706021916",364,924233000,868230000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОПРОДУКТ-ОТРАДНОЕ""",,,,
"4706034810",65,234390000,234661000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУБОПЛАСТ-ОТРАДНОЕ""","22.22","Производство пластмассовых изделий для упаковывания товаров","ООО ""ТУБОПЛАСТ-ОТРАДНОЕ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706039511",4,26392000,14228000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХЕЛИКС ОТРАДНОЕ""","86.90.9","Деятельность в области медицины прочая, не включенная в другие группировки","ООО ""ХЕЛИКС ОТРАДНОЕ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706031992",4,5763000,5526000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОННЫЙ ГОРОД""","61.10.4","Деятельность в области документальной электросвязи","ООО ""ЭЛЕКТРОННЫЙ ГОРОД""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706014725",5,4073000,4071000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ТОРГОВАЯ ПЛОЩАДКА ""ЩУРОВА""","68.32","Управление недвижимым имуществом за вознаграждение или на договорной основе","ООО ТП ""ЩУРОВА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"6027078894",17,55771000,56533000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМЦЕНТР""","47.73","Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)","ООО ""ФАРМЦЕНТР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706021088",6,40603000,40434000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ОТРАДНОЕНЕТ""","61.10.4","Деятельность в области документальной электросвязи","ООО ""ОТРАДНОЕНЕТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706003850",10,14368000,16060000,"31.12.2018","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД ""ЭЛЕКТРОЩИТ""","27.12","Производство электрической распределительной и регулирующей аппаратуры","ОАО ""НЗ ""ЭЛЕКТРОЩИТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7702677325",6,172307000,123968000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОГОПЛАСТ РАША""",,,,
"4706035757",1032,4454958000,5655509000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛСР. СТЕНОВЫЕ МАТЕРИАЛЫ""",,,,
"4706021360",1,633000,1847000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЛЕНИНГРАДСКИЙ МАЧТОПРОПИТОЧНЫЙ ЗАВОД""","68.32","Управление недвижимым имуществом за вознаграждение или на договорной основе","ООО ""ТОРГОВЫЙ ДОМ ""ЛМПЗ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7805275466",2,16192000,17181000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ""","68.2","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ИНВЕСТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706020165",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АС""",,,,
"7810415091",5,342135000,267579000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИКА ГРУПП""","25.62","Обработка металлических изделий механическая","ООО ""БАЛТИКА ГРУПП""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7839427607",0,280000,211000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАНДШАФТ""",,,,
"7804415826",1,10275000,9365000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЮТ""","47.11","Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах","ООО ""УЮТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706014997",2,1924000,1894000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСПЕХ""","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""УСПЕХ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7816570248",1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННОЕ АГЕНТСТВО""",,,,
"4706011957",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКТАН""","46.38.1","Торговля оптовая рыбой, ракообразными и моллюсками, консервами и пресервами из рыбы и морепродуктов","ООО ""ОКТАН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7825418666",375,2027276000,1982119000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНДИТЕРСКОЕ ОБЪЕДИНЕНИЕ ""ЛЮБИМЫЙ КРАЙ""",,,,
"4706026696",80,423152000,422336000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""А.С.СТРОЙ""","41.20","Строительство жилых и нежилых зданий","ООО ""А.С.СТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"8602254920",0,2415000,2445000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖ ОБЪЕКТОВ СВЯЗИ И АВТОМАТИКИ""","41.20","Строительство жилых и нежилых зданий","ООО ""МОСА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706019265",135,151884000,143576000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВСКАЯ ЛИНИЯ""","49.31.21","Регулярные перевозки пассажиров автобусами в городском и пригородном сообщении","ООО ""НЕВСКАЯ ЛИНИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7810304962",,6308000,6245000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТСТРОЙ""",,,,
"7842506217",202,498276000,470398000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОРДСТРОЙ""",,,,
"4706021440",1,321000,317000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСПЕХ""","68.31.1","Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе","ООО ""УСПЕХ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4703050235",2,23526000,26830000,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ФИЛЬТРОВАЛЬНЫЕ МАТЕРИАЛЫ""","17.29","Производство прочих изделий из бумаги и картона","ЗАО ""НПП ""ФИЛЬТРОВАЛЬНЫЕ МАТЕРИАЛЫ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706003240",8,71401000,79589000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАЙМ""","46.73.6","Торговля оптовая прочими строительными материалами и изделиями","АО ""ТАЙМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"7838323034",,2408000,2026000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНОЕ АГЕНТСТВО ОЦЕНКИ, ЭКСПЕРТИЗЫ И КОНСАЛТИНГА ""ПЕРВИН""",,,,
"4706015207",6,1221000,977000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬ""","86.23","Стоматологическая практика","ООО ""СИБИРЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706000313",139,159192000,147900000,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕЛЛА-ФИОРД""",,,,
"7806411030",2,0,1063000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ РЕСУРС""","71.1","Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях","ООО ""УК МИР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ОТРАДНОЕ"
"4706015447",1,6090000,15174000,"31.12.2018","Общество с ограниченной ответственностью ""Аргус-GB""","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""AGB""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, Кировский РАЙОН, ГОРОД Отрадное"
