"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"7813096118","46.46.1","Торговля оптовая фармацевтической продукцией","ООО ""РЦСЗ ЛЕНМЕДИНФОРМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",23,476078000,464962000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЙ ЦЕНТР СОДЕЙСТВИЯ ЗДРАВООХРАНЕНИЮ ЛЕНМЕДИНФОРМ"""
"4706002529",,,,,221,374928000,371510000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАВЛОВСКИЙ ЗАВОД"""
"7810247930",,,,,61,413883000,421641000,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АВТОПРИЦЕПОВ"""
"7814126020","46.90","Торговля оптовая неспециализированная","ООО ""Р. М. ЭКО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",1,21770000,19382000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Р. М. ЭКО"""
"4706006442","47.1","Торговля розничная в неспециализированных магазинах","ООО ""АМАГЕР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМАГЕР"""
"4706024554","68.32.1","Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе","ООО  ""ДОМ-СЕРВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",28,21937000,23047000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМ-СЕРВИС"""
"4706019730","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""РАС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",1,10200000,1347000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАС"""
"4706033615","36.0","Забор, очистка и распределение воды","ООО ""ВОДОКАНАЛ ПАВЛОВСКОГО Г.П.""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",45,30283000,29605000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ ПАВЛОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ"""
"4706019554","47.19","Торговля розничная прочая в неспециализированных магазинах","ООО ""МСМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",4,2890000,2851000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГАЗИН СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ"""
"4706035651","78.30","Деятельность по подбору персонала прочая","ООО ""ТЕХГРУПП""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",1,0,63000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХГРУПП"""
"4706030156","68.32","Управление недвижимым имуществом за вознаграждение или на договорной основе","ООО ""ПАВЛОВСКАЯ РЭК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",6,15820000,8630000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОВСКАЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ"""
"4706000320",,,,,1,3480000,3542000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МАГАЗИН ""ПАВЛОВСКИЙ"""
"4706015246","42.21","Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения","ООО ""ЭСМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",9,10118000,9560000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОСТРОЙМОНТАЖ"""
"4706019716","47.52","Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах","ООО ""НЕВА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",2,0,30000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВА"""
"4706027918","47.52.7","Торговля розничная строительными материалами, не включенными в другие группировки, в специализированных магазинах","ООО ""ЦЗС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",22,36128000,37532000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЗАГОРОДНОГО СТРОИТЕЛЬСТВА"""
"4706017451","47.11","Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах","ООО ""НОВИНКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПАВЛОВО",0,14000,14000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВИНКА"""
