INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7703528615,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМПАНЭКО""",,,,
7822004000,13,27565000,56.10,Деятельность ресторанов и услуги по доставке продуктов питания,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕСТОРАНЫ МУЗЕЯ ""ПАВЛОВСК""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",28215000,31.12.2018,"АО ""РЕСТОРАНЫ МУЗЕЯ ""ПАВЛОВСК"""
7820333786,7,275274000,61.10,Деятельность в области связи на базе проводных технологий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛ ЛИНК""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",275635000,31.12.2018,"ООО ""ГЛОБАЛ ЛИНК"""
7813543528,1,0,93.2,Деятельность в области отдыха и развлечений,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНЫЙ БЕРЕГ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""ЗЕЛЕНЫЙ БЕРЕГ"""
7811709048,1,,46.49,Торговля оптовая прочими бытовыми товарами,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАРСА ПЛЮС""",САНКТ-ПЕТЕРБУРГ ГОРОД,,,"ООО ""ЛАРСА ПЛЮС"""
7816142651,1,4762000,41.20,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЕРИЯ - СЕРВИС""",САНКТ-ПЕТЕРБУРГ ГОРОД,8204000,31.12.2018,"ООО ""ИМПЕРИЯ - СЕРВИС"""
7810079675,5,47390000,42.21,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСИЧ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",48591000,31.12.2018,"ООО ""РУСИЧ"""
7811074493,1,687000,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОДИНА""",,707000,31.12.2018,
7810080310,2,0,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИКТОРИЯ ПЛЮС""",,0,31.12.2018,
7822005580,5,13697000,56.10,Деятельность ресторанов и услуги по доставке продуктов питания,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОВСКРЕМСТРОЙСЕРВИС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",14629000,31.12.2018,"ООО ""ПРСС"""
7820307070,5,10776000,01.25.1,Выращивание прочих плодовых и ягодных культур,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СЛАВЯНСКАЯ УСАДЬБА ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",12070000,31.12.2018,"ООО "" СЛАВЯНСКАЯ УСАДЬБА """
7813159689,1,0,46.46,Торговля оптовая фармацевтической продукцией,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОЛОТАЯ НИТЬ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""ЗОЛОТАЯ НИТЬ"""
7810329533,2,818000,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮДЖИСИ ПИКЧЕРЗ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",837000,31.12.2018,"ООО ""ЮДЖИСИ ПИКЧЕРЗ"""
7804497843,2,16670000,41.2,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РСУ-456""",САНКТ-ПЕТЕРБУРГ ГОРОД,16829000,31.12.2018,"ООО ""РСУ-456"""
7813114550,1,6179000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮКС А.Г.""",САНКТ-ПЕТЕРБУРГ ГОРОД,4827000,31.12.2018,"ООО ""ЛЮКС А.Г."""
7842102969,1,6662000,46.69,Торговля оптовая прочими машинами и оборудованием,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАЙСС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",7870000,31.12.2018,"ООО ""РАЙСС"""
7820043124,8,23322000,41.20,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРДСТРОЙ 3""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",24091000,31.12.2018,"ООО ""НОРДСТРОЙ 3"""
7816280002,1,13000,96.01,Стирка и химическая чистка текстильных и меховых изделий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕМО КЛИН""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""НЕМО КЛИН"""
7805339215,1,2173000,25.62,Обработка металлических изделий механическая,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАВОРИТ ЛАЗЕР""",САНКТ-ПЕТЕРБУРГ ГОРОД,2203000,31.12.2018,"ООО ""ФАВОРИТ ЛАЗЕР"""
7820028750,1,0,43.91,Производство кровельных работ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""СТИС"""
7805625015,1,2363000,46.73,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОДАР-РУС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",2414000,31.12.2018,"ООО ""ТЕПЛОДАР-РУС"""
