"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"4706019579","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""ПРИЛАДОЖСКИЙ ТОРГОВЫЙ ЦЕНТР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",4,3345000,3069000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИЛАДОЖСКИЙ ТОРГОВЫЙ ЦЕНТР"""
"4706027587",,,,,20,45541000,45191000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОТЕЛЬНАЯ ПТИЦЕФАБРИКИ ""СИНЯВИНСКАЯ"""
"7816512800","47.73","Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)","ООО  ""ВИТА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",8,45440000,44581000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА"""
"4706001780",,,,,921,5683197000,7844532000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА СИНЯВИНСКАЯ ИМЕНИ 60-ЛЕТИЯ СОЮЗА ССР"""
"4706028728","52.29","Деятельность вспомогательная прочая, связанная с перевозками","ООО ""ТЛК ""КАРГОТРАНС СЗ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНО-ЛОГИСТИЧЕСКАЯ КОМПАНИЯ ""КАРГОТРАНС СЕВЕРО-ЗАПАД"""
"4706013619","47.11","Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах","ООО ""ЛАДОЖСКИЕ БЕРЕГА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ НАЗИЯ",2,2365000,2910000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАДОЖСКИЕ БЕРЕГА"""
"4706021987","52.21.24","Деятельность стоянок для транспортных средств","ГК ""КАС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",,,,,"ГАРАЖНЫЙ КООПЕРАТИВ ""КОЛЛЕКТИВНАЯ АВТОСТОЯНКА ПОСЕЛКА ПРИЛАДОЖСКИЙ"""
"4706025396","47.25","Торговля розничная напитками в специализированных магазинах","ООО ""НАСТЕНЬКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",3,12033000,11906000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАСТЕНЬКА"""
"4706018487","52.21.24","Деятельность стоянок для транспортных средств",,"ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",,,,,"ПОТРЕБИТЕЛЬСКИЙ ГАРАЖНЫЙ КООПЕРАТИВ ""ПРОРЫВ"""
"4706030170",,,,,395,1407150000,1250252000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОКОНТРОЛЬ"""
"7806450350","68.3","Операции с недвижимым имуществом за вознаграждение или на договорной основе","ООО ""ПОЛЯРНАЯ ЗВЕЗДА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,0,564000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛЯРНАЯ ЗВЕЗДА"""
"4706031745","66.19","Деятельность вспомогательная прочая в сфере финансовых услуг, кроме страхования и пенсионного обеспечения","ООО ""РОСТОК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,691616000,485793000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСТОК"""
"4706024917","56.10","Деятельность ресторанов и услуги по доставке продуктов питания","ООО ""МАРГАРИТА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",6,2089000,1744000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРГАРИТА"""
"4706028083","26.60.9","Производство прочего оборудования, применяемого в медицинских целях","ООО ""РБК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",6,7792000,6823000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ БИЗНЕС КЛУБ"""
"4706004117","01.13.3","Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина","ООО ""АГРОФИРМА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",5,2411000,2122000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА"""
"4706031657","35.12","Передача электроэнергии и технологическое присоединение к распределительным электросетям","ООО ""ЦЭР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",7,34780000,7743000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЭНЕРГОЭФФЕКТИВНЫХ РЕШЕНИЙ"""
"4706033220","45.20.3","Мойка автотранспортных средств, полирование и предоставление аналогичных услуг","ООО ""ЭЙРВЕЙС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,0,45000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЙРВЕЙС"""
"4706012020","03.12","Рыболовство пресноводное","ООО ""ЛАДОГА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ НАЗИЯ",2,484000,464000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАДОГА"""
"4706032805","93.29.9","Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки","ООО ""НАЗИЯ ПЛЮС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ НАЗИЯ",2,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЗИЯ ПЛЮС"""
"4706034778","41.20","Строительство жилых и нежилых зданий","ООО ""АНГАРА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,0,68000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНГАРА"""
"4706036790","10.20","Переработка и консервирование рыбы, ракообразных и моллюсков","ООО ""НАЗИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ НАЗИЯ",1,1000,405000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЗИЯ"""
"4706023529","47.2","Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах","ООО ""Рассвет""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, Кировский РАЙОН, ПОСЕЛОК ГОРОДСКОГО ТИПА Приладожский",1,0,0,"31.12.2018","Общество с ограниченной ответственностью ""Рассвет"""
"4706035740","22.19.7","Производство изделий из вулканизированной резины, не включенных в другие группировки","ООО ""ЗОДИАК М""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",5,10283000,8060000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОДИАК М"""
"4706033630","36.0","Забор, очистка и распределение воды","ООО ""ВОДОКАНАЛ ПРИЛАДОЖСКОГО Г.П.""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",41,108255000,124644000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ ПРИЛАДОЖСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ"""
"4706037419","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ЯКОРЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ДЕРЕВНЯ НАЗИЯ",1,0,237000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯКОРЬ"""
"4706030163","26.60.1","Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений","ООО ""ПАСТЕР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",3,825000,640000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАСТЕР"""
"4706037507","10.83","Производство чая и кофе","ООО ""КАПОРОЧКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,66000,76000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПОРОЧКА"""
"4706038155","01.49.4","Разведение оленей","ООО ""КФХ ""БИО ГОЛД""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕСТЬЯНСКОЕ ФЕРМЕРСКОЕ ХОЗЯЙСТВО ""БИО ГОЛД"""
"4706038772","46.73","Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием","ООО ""ВЕЛЕС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК ПРИЛАДОЖСКИЙ",0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЕС"""
