"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"7805572780","71.20.4","Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование","ООО ""ЦКСИ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",19,64855000,36003000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КОМПЛЕКСНО-СЕЙСМИЧЕСКИХ ИСПЫТАНИЙ"""
"7705682651","46.32","Торговля оптовая мясом и мясными продуктами","ООО ""ИМПРОСЕРВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",2,77203000,77256000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПРОСЕРВИС"""
"7814151844",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ"""
"4704072672","08.12","Разработка гравийных и песчаных карьеров, добыча глины и каолина","ООО ""НАУТИКА""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",0,76936000,71575000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУТИКА"""
"4704011704","47.1","Торговля розничная в неспециализированных магазинах","РОЩИНСКОЕ ПО","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",,,,,"РОЩИНСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО"
"7804417630","55.90","Деятельность по предоставлению прочих мест для временного проживания","ООО ""ПАНСИОНАТ ""ОЗЕРО ЗЕРКАЛЬНОЕ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ПОСЕЛОК ЗЕРКАЛЬНЫЙ",27,25356000,29372000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАНСИОНАТ ""ОЗЕРО ЗЕРКАЛЬНОЕ"""
"7801256198","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО "" ДАЧА ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",20,14928000,15428000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  "" ДАЧА """
"4704043390","55.90","Деятельность по предоставлению прочих мест для временного проживания","ООО ""ВЗЛЕТ-ОРТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",21,53413000,53338000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЗЛЕТ-ОРТ"""
"4704094411","01.13.3","Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина","ООО ""МИП ""АГРОИР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, САДОВОЕ НЕКОМ-Е ТОВАРИЩЕСТВО ЛЕБЯЖЬЕ(П.МУХИНО)",2,33000,8000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЛОЕ ИННОВАЦИОННОЕ ПРЕДПРИЯТИЕ ""АГРОИР"""
"4704016364","55.90","Деятельность по предоставлению прочих мест для временного проживания","ЗАО ""ПАНСИОНАТ ""ЛЕНИНГРАДЕЦ"" ХК ""ЛЕНИНЕЦ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ РАЙОН, ГОРОДСКОЙ ПОСЕЛОК РОЩИНО",61,163752000,162159000,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАНСИОНАТ ""ЛЕНИНГРАДЕЦ"" ХОЛДИНГОВОЙ КОМПАНИИ ""ЛЕНИНЕЦ"""
