INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7827008961,67,335194000,47.73,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕКА - ФАРМ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",343846000,31.12.2018,"ООО ""ЛЕКА-ФАРМ"""
7827003258,393,505212000,,,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО  ""САНАТОРИЙ ""СЕСТРОРЕЦКИЙ КУРОРТ""",,557749000,31.12.2018,
7827006139,19,52856000,46.12.22,Деятельность агентов по оптовой торговле металлами в первичных формах,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИУМ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",52176000,31.12.2018,"ООО ""МЕДИУМ"""
7827010368,184,235800000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНАТОРИЙ ""ДЮНЫ""",,178778000,31.12.2018,
7825017520,8,38517000,32.12.3,Обработка алмазов,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНРЕАЛ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",30550000,31.12.2018,"ООО ""ИНРЕАЛ"""
7841303704,89,490522000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОМОЛДИНГ""",,494298000,31.12.2018,
7819030138,42,119999000,47.24,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕСТРОРЕЦКИЕ БУЛОЧНЫЕ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",133578000,31.12.2018,"ООО ""СЕСТРОРЕЦКИЕ БУЛОЧНЫЕ"""
7814030208,1,5944000,56.10,Деятельность ресторанов и услуги по доставке продуктов питания,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИДА-ВС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",2144000,31.12.2018,"ООО ""ИРИДА-ВС"""
7825478697,1,2939000,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОПС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",9837000,31.12.2018,"ООО ""КРОПС"""
7841396025,8,75228000,32.12.3,Обработка алмазов,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВСКИЙ БРИЛЛИАНТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД СЕСТРОРЕЦК",75722000,31.12.2018,"ООО ""НЕВСКИЙ БРИЛЛИАНТ"""
