"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"4706026576","41.2","Строительство жилых и нежилых зданий","ООО ""ОСК-ШЛИССЕЛЬБУРГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСК-ШЛИССЕЛЬБУРГ"""
"4706034390",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЛИССЕЛЬБУРГ"""
"4706025692",,,,,1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОВОДОСНАБЖЕНИЕ-ШЛИССЕЛЬБУРГ"""
"4706040965","96.03","Организация похорон и представление связанных с ними услуг","ООО ""РУ-ШЛИССЕЛЬБУРГ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТУАЛЬНЫЕ УСЛУГИ ШЛИССЕЛЬБУРГ"""
"4706040073","56.10","Деятельность ресторанов и услуги по доставке продуктов питания","ООО ""ШЛИССЕЛЬБУРГСКИЙ ПРОВАНС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЛИССЕЛЬБУРГСКИЙ ПРОВАНС"""
"4723003931",,,,,,0,0,"31.12.2018","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ПЕТРОКРЕПОСТЬ"""
"4706020609",,,,,952,3291093000,3255826000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВСКИЙ СУДОСТРОИТЕЛЬНО-СУДОРЕМОНТНЫЙ ЗАВОД"""
"4706023014","68.2","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ПМД ПЛЮС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,42832000,16245000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПМД ПЛЮС"""
"7842369465","46.46","Торговля оптовая фармацевтической продукцией","ООО ""РОССИЧ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",7,18843000,18510000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССИЧ"""
"7805367935","30.1","Строительство кораблей, судов и лодок","ООО  ""ОЗЕРНАЯ ВЕРФЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",82,382898000,234590000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ОЗЕРНАЯ ВЕРФЬ"""
"7802468847","41.2","Строительство жилых и нежилых зданий","ООО ""ОККЕРВИЛЬ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",24,463377000,449185000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОККЕРВИЛЬ"""
"4706021730","25.62","Обработка металлических изделий механическая","ООО ""ТРИТМЕНТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",81,152816000,100333000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИТМЕНТ"""
"7805457667","45.3","Торговля автомобильными деталями, узлами и принадлежностями","ООО ""А.В.Т.""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",4,1970000,1570000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""А.В.Т."""
"7814468802","46.73.6","Торговля оптовая прочими строительными материалами и изделиями","ООО ""ЛЕНЦЕМЕНТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,12803000,14222000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕНЦЕМЕНТ"""
"7813171904","49.3","Деятельность прочего сухопутного пассажирского транспорта","ООО""ЯК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,3986000,3301000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯК"""
"7804151436","22.29","Производство прочих пластмассовых изделий","ООО ""ТАНДЕМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",15,28176000,27645000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАНДЕМ"""
"7801126840","68.31.1","Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе","ЗАО ""ЛИРС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",7,,,,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИРС"""
"4706026417","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""ПЕТРОВСКИЙ ПРИЧАЛ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,4354000,4456000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОВСКИЙ ПРИЧАЛ"""
"4706026706","28.1","Производство машин и оборудования общего назначения","ООО ""ЭКО-ПРОМ-СЕРВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",46,54230000,39338000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКО-ПРОМ-СЕРВИС"""
"7806392638","23.61","Производство изделий из бетона для использования в строительстве","ООО ""ЭНИНСИ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",41,112487000,107898000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГЕТИЧЕСКИЕ ИННОВАЦИОННЫЕ СИСТЕМЫ"""
"4706014718","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""КОНДОР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",7,14248,6556,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНДОР"""
"4723002920",,,,,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСЛАН"""
"7839404053","41.2","Строительство жилых и нежилых зданий","ООО ""УСП""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",4,9851000,9702000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ, СТРОИТЕЛЬСТВО И ПРОЕКТИРОВАНИЕ"""
"4706011770","50.40","Деятельность внутреннего водного грузового транспорта","ООО ""ПРИЧАЛ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",,9877000,9016000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИЧАЛ"""
"7801392151","77.32","Аренда и лизинг строительных машин и оборудования","ООО ""ОБЛСТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ",1,1805000,1811000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛСТРОЙ"""
