INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7813026343,208,490431000,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭКОМЕТ-С""",,539818000,31.12.2018,
4714000109,2142,8657348000,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНТАЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 90""",,8790345000,31.12.2018,
4714000363,1072,6308282000,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОСНОВОБОРЭЛЕКТРОМОНТАЖ""",,6423698000,31.12.2018,
3905051279,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИНОЛ""",,,,
7802421038,43,57689000,28.99.4,Производство оборудования технологического специального для объектов использования атомной энергии,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЕ ТЕХНОЛОГИИ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",57611000,31.12.2018,"ООО ""БАЛТИЙСКИЕ ТЕХНОЛОГИИ"""
4714024318,2,21102000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ-ЛЮКС""",,4285000,31.12.2018,
7813588825,7,16955000,56.10.1,"Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РГ ПРАВО""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",22656000,31.12.2018,"ООО ""РГ ПРАВО"""
4714000910,151,270104000,41.20,Строительство жилых и нежилых зданий,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦХИММОНТАЖ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",272363000,31.12.2018,"АО ""СПЕЦХИММОНТАЖ"", АО ""СХМ"""
4714002748,42,63934000,86.23,Стоматологическая практика,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛЕФАНТ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",90604000,31.12.2018,"ЗАО ""ЭЛЕФАНТ"""
4726000664,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОР СТРОЙ АВТО""",,,,
4714020994,43,100906000,49.41,Деятельность автомобильного грузового транспорта,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССЕРВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",146897000,31.12.2018,"ООО ""ТРАНССЕРВИС"""
7842523195,1,1532000,71.20,"Технические испытания, исследования, анализ и сертификация","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕЗАВИСИМАЯ ЛАБОРАТОРИЯ НЕРАЗРУШАЮЩЕГО КОНТРОЛЯ ""СПЕКТР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",4478000,31.12.2018,"ООО ""НЛНК ""СПЕКТР"""
7840461842,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКТАЦИЯ""",,,,
4714017705,9,59614000,41.2,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМГИДРОСЕРВИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",63790000,31.12.2018,"ООО ""ПГС"""
4714015095,2,5895000,55.10,Деятельность гостиниц и прочих мест для временного проживания,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛС-СТРОЙКОНСТРУКЦИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",9488000,31.12.2018,"ООО ""АЛС-С"""
4714013348,13,182033000,25.93,"Производство изделий из проволоки, цепей и пружин","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",189330000,31.12.2018,"ООО ""БИС"""
4714018755,7,6784000,93.1,Деятельность в области спорта,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМАНДОР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",5606000,31.12.2018,"ООО ""КОМАНДОР"""
4704090382,1,58000,60.10,Деятельность в области радиовещания,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАРОДНЫЕ ВЕСТИ ФМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",92000,31.12.2018,"ООО ""НАРОДНЫЕ ВЕСТИ ФМ"""
7802115249,6,260530000,46.90,Торговля оптовая неспециализированная,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЛАЙН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",262325000,31.12.2018,"ООО ""ТРАНСЛАЙН"""
4714022624,1,679000,49.32,Деятельность легкового такси и арендованных легковых автомобилей с водителем,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЭТОН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",684000,31.12.2018,"ООО ""ФАЭТОН"""
4707034971,6,22751000,41.2,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТИНЖСТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",23230000,31.12.2018,"ООО ""ТИС"""
7734354077,6,255036000,41.20,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РСК ВВС-СТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГОРОД СОСНОВЫЙ БОР",211891000,31.12.2018,"ООО ""РСК ВВС-СТРОЙ"""
