"INN","okved_main_code","okved_main_name","short_name","place_info","employees","revenue","expenses","revenue_date","org_name"
"7816442302","28.99","Производство прочих машин и оборудования специального назначения, не включенных в другие группировки","ООО ""ЭВОБИОС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН",19,36630000,35906000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭВОЛЮЦИЯ БИОГАЗОВЫХ СИСТЕМ"""
"7805152520",,,,,0,173609000,6971000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ТОРГОВЫЙ ДОМ ""КЕРАМИН СЕВЕРО-ЗАПАД"""
"7805059553",,,,,134,1295714000,1324825000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИИЛТО-КЛЕЙ"""
"7841357795",,,,,3,342880000,295324000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРИГО"""
"7817014638","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","АО ""СТРОЙПОЛИМЕР""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН",2,146987000,140352000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙПОЛИМЕР"""
"7816085379",,,,,100,4639384000,4361365000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОИМПЭКС"""
"7805439322","10.72","Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения","ООО  ""ИНСТРОЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ПРОМЫШЛЕННАЯ ЗОНА СЕВ.Ч.ПРОМЗОНЫ ГОРЕЛОВО",11,106065000,105834000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ИНСТРОЙ"""
"4720026779","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""ИНВЕСТКОМПЛЕКС""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ЛОМОНОСОВСКИЙ РАЙОН, ПРОМЫШЛЕННАЯ ЗОНА СЕВ.Ч.ПРОМЗОНЫ ГОРЕЛОВО",165,0,0,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТКОМПЛЕКС"""
"7801137546",,,,,300,850360000,819670000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВИМПОРТ"""
"7810329660",,,,,739,9280791000,9201222000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГ-ЭНЕРГО"""
