"INN","employees","revenue","expenses","revenue_date","org_name","okved_main_code","okved_main_name","short_name","place_info"
"4706033990",14,103569000,102921000,"31.12.2018","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЙ НАВИГАЦИОННО-ИНФОРМАЦИОННЫЙ ЦЕНТР ПО ЛЕНИНГРАДСКОЙ ОБЛАСТИ""",,,,
"4706028661",6,8222000,7997000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВОБЛПЕЧАТЬ-КИРОВСК""","47.62.1","Торговля розничная газетами и журналами в специализированных магазинах","ООО ""НЕВОБЛПЕЧАТЬ-КИРОВСК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706016240",6,1713000,2481000,"31.12.2018","Общество с ограниченной ответственностью ""Кировская фабрика нетканых материалов""","13.95","Производство нетканых текстильных материалов и изделий из них, кроме одежды","ООО ""Кировская ФНМ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706029707",2,691000,677000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ ТУР КИРОВСК""","79.1","Деятельность туристических агентств и туроператоров","ООО ""РУССКИЙ ТУР КИРОВСК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706030565",2,31000,25000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИРОВСК ОНЛАЙН""","63.11.1","Деятельность по созданию и использованию баз данных и информационных ресурсов","ООО ""КИРОВСК ОНЛАЙН""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ"
"4706026424",,,,,"ПОТРЕБИТЕЛЬСКИЙ ГАРАЖНЫЙ КООПЕРАТИВ ""КИРОВСКИЙ""","52.21.24","Деятельность стоянок для транспортных средств","ПГК ""КИРОВСКИЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706014637",23,62407000,30613000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИРОВСКИЙ ГОРОДСКОЙ РЫНОК""","68.20.2","Аренда и управление собственным или арендованным нежилым недвижимым имуществом","ООО ""КИРОВСКИЙ ГОРОДСКОЙ РЫНОК""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706033647",43,133432000,215489000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ КИРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ""","36.0","Забор, очистка и распределение воды","ООО ""ВОДОКАНАЛ КИРОВСКОГО Г.П.""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706027971",6,10475000,17426000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧИСТЫЙ ГОРОД""","45.20.2","Техническое обслуживание и ремонт прочих автотранспортных средств","ООО ""ЧИСТЫЙ ГОРОД""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД ШЛИССЕЛЬБУРГ"
"4706038797",4,9912000,7165000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КИРОВСКИЙ""","86.10","Деятельность больничных организаций","ООО ""ЦЕНТР КИРОВСКИЙ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706037000",1,0,2000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАСОСНЫЕ СТАНЦИИ КИРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ""","36.00","Забор, очистка и распределение воды","ООО ""НАСОСНЫЕ СТАНЦИИ КИРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706021240",1,480000,534000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРЫЙ ГОРОД +""","68.20","Аренда и управление собственным или арендованным недвижимым имуществом","ООО ""СТАРЫЙ ГОРОД +""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
"4706027932",13,20702000,19385000,"31.12.2018","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХРАННОЕ ПРЕДПРИЯТИЕ ""КИРОВСКОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ К.О.П.""","80.10","Деятельность частных охранных служб","ООО ""ОП ""КИРОВСКОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ К.О.П.""","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, КИРОВСКИЙ РАЙОН, ГОРОД КИРОВСК"
